boj,rating1,cp,rating2
koosaga,3309,koosaga,2965
cki86201,3227,molamola,3259
ainta,3188,ainta,3050
jhnah917,3142,JusticeHui,2022
Lawali,3124,Lawali,2183
sebinkim,3121,SebinKim,2769
serin,3111,Serin,1860
moonrabbit2,3105,moonrabbit2,2257
gs18115,3096,gs18115,2457
jthis,3079,thisisis,2014
imeimi2000,3072,imeimi2000,2680
79brue,3012,brue79,2558
yijw0930,3009,yijw0930,2287
rkm0959,3006,rkm0959,2135
y0105w49,3006,y0105w49,2803
jh05013,3002,jh05013,2136
arnold518,2990,arnold518,1951
sukh1222,2973,gs12117,2547
onjo0127,2964,onjo0127,2144
topology,2937,topology,1642
cs71107,2913,cs71107,2211
kclee2172,2906,kclee2172,2818
edenooo,2904,edenooo,2300
jhwest2,2900,jhwest2,2045
urd05,2899,platter,2271
pichulia,2898,pichulia,1967
tlwpdus,2898,tlwpdus,2983
flappybird,2887,flappybird,2205
cheetose,2884,cheetose,2038
denniskim,2868,denniskim,2000
gunwookim,2864,mario05,1902
mjhmjh1104,2860,mjhmjh1104,1402
kyo20111,2856,JooDdae,2009
wnwoghd22,2856,Jay202,1254
kdh9949,2847,kdh9949,2735
lisifu,2836,lisifu,2267
ho94949,2833,HYEA,2325
heeda0528,2831,HeeJaYaa,1746
greedev,2830,W_NotFoundGD,1880
iccodly,2805,iccodly,1909
seastar105,2799,seastar105,1487
azberjibiou,2798,azberjibiou,2285
ingyu1008,2793,MatWhyTle,1454
knon0501,2791,knon0501,1927
zigui,2782,zigui,2760
alex9801,2781,alex9801,2306
wbcho0504,2778,1bin,1778
imtore,2775,imtore,1755
Coxie,2768,Coxie,1914
sharaelong,2767,sharaelong,1106
leeh18,2765,leeh18,1963
jwvg0425,2764,jwvg0425,2075
gs18103,2763,snuphy,2100
starbow,2762,Starbow_Break,1209
lem0nad3,2754,Vermeil,1760
Green55,2750,Green55,1955
lkh3happy,2747,lkh3happy,1607
hhs2003,2744,Hy3ons,834
