boj,rating1,cp,rating2
koosaga,3309,ko_osaga,3153
cki86201,3227,molamola.,3066
mitnegativeinfinity,3197,ksun48,3405
ainta,3188,ainta,2792
yclock,3148,GyojunYoun,2574
jhnah917,3142,Justice_Hui,2100
Lawali,3124,Lawali,2431
sebinkim,3121,blackbori,2684
serin,3111,Serin,2664
qwerasdfzxcl,3106,qwerasdfzxcl,2755
moonrabbit2,3105,mo_onrabbit2,2610
ronnie007,3102,Ronnie007,2358
gs18115,3096,gs18115,2619
jthis,3079,thisisisis,2113
imeimi2000,3072,imeimi,2716
mhy908,3051,mhy908,2480
xiaowuc1,3044,xiaowuc1,2518
79brue,3012,crewmate,2471
yijw0930,3009,yijw0930,2414
kcm1700,3007,kcm1700,2823
rkm0959,3006,rkm0959,2282
y0105w49,3006,y0105w49,2867
arnold518,2990,JaeminPark,2503
sukh1222,2973,gs12117,2872
onjo0127,2964,onjo,2326
jjang36524,2951,codingmorning,2392
songc,2937,SongC,2563
topology,2937,jo_on,2381
cs71107,2913,cs71107,2234
kclee2172,2906,kclee2172,2652
brandonzhang,2905,brandonzhang,2150
cozyyg,2904,16silver,2463
edenooo,2904,edenooo,2451
jhwest2,2900,_Karuna,2656
urd05,2899,platter,2607
pichulia,2898,pichulia,2451
tlwpdus,2898,TLEwpdus,2956
flappybird,2887,hypergraph_coloring,2216
TAMREF,2887,TAMREF,2268
cheetose,2884,cheetose,2433
dlalswp25,2881,dlalswp25,2860
denniskim,2868,denniskim,2152
kipa00,2865,kipa00,2221
cgiosy,2864,cgiosy0,2124
gunwookim,2864,Red_gunwookim,2244
harinboy,2860,harinboy,2294
mjhmjh1104,2860,mjhmjh1104,2364
hijkl2e,2859,hijkl2e,2276
leinad2,2859,leinad2,2538
kyo20111,2856,JooDdae,2500
sorohue,2856,sorohue,1658
wnwoghd22,2856,Jay0202,1614
p_0,2854,p_0,1485
kdh9949,2847,kdh9949,2749
dotorya,2844,dotorya,3060
mickeyjung,2840,mickeyjung,2441
tony9402,2837,_tony9402,1607
blackking26,2836,YeongTree,2539
lisifu,2836,kizen,2555
artichoke42,2833,Sleepymint,1926
ho94949,2833,_menhera,3042
dkim110807,2831,dkim110807,1578
ehlee0815,2831,eltu815,1766
heeda0528,2831,Jeuti,2184
myungwoo,2831,myungwoo,2512
greedev,2830,W_NotFoundGD,2025
jinhan814,2819,jinhan814,2111
stonejjun03,2815,stonejjun,2232
sjimed,2813,est_stella,2462
iccodly,2805,iccodly,1986
seastar105,2799,seastar105,1398
azberjibiou,2798,BiouX,2494
ingyu1008,2793,MatWhyTle,1713
knon0501,2791,seyun,2132
Juno,2790,Juno,2184
puppy,2787,windva,2486
zigui,2782,zigui,2676
alex9801,2781,alex9801,2627
wbcho0504,2778,1bin,2184
imtore,2775,imtore,2120
kohandy,2772,kohandy,2127
heewoo1137,2770,heeew,1958
leejseo,2770,sess.run,1987
kes0716,2769,kes0716,2316
Coxie,2768,Coxie,2119
sharaelong,2767,sharaelong,2269
leeh18,2765,leeh18,2104
jwvg0425,2764,nong,2221
queued_q,2764,queued_q,2244
gs18103,2763,snuphy,2283
math_rabbit_1028,2763,math_rabbit_1028,2004
starbow,2762,Starbow_Break,1934
lego0901,2756,lego0901,2169
lem0nad3,2754,Vermeil,1892
Green55,2750,Green55,2300
pentagon03,2748,Ku_Top,2066
lkh3happy,2747,lkh3happy,1934
hhs2003,2744,Hy3ons,1617
choisang0826,2743,choisang0826,1414
kimjihoon,2743,kimjihoon,2452
wjdclgns12,2740,ANZ,2402
ae04071,2739,TearinFree,2400
spectaclehong,2739,spectaclehong,2179
byunjaewoo,2736,jaewoo2009,2147
lky7674,2736,kukul,2142
egod1537,2735,OngOng,1629
leo020630,2734,leo020630,2149
MenOfPassion,2734,MenOfPassion,1602
angello10,2733,zse,2100
ibm2006,2733,Kaling,2243
evenharder,2732,evenharder,2163
semteo04,2729,semteo,2166
wider93,2729,wider93,1921
nick832,2724,lmlmlm,2553
shiftpsh,2724,shiftpsh,2128
bubbler,2722,Bubbler,1992
palilo,2721,palilo,2137
aeren,2718,Snow-Flower,2529
hellogaon,2718,hellogaon,2066
gojib2002,2717,gojib2002,2108
amel,2716,Amel,2140
pani,2715,lemoncookie,1869
snrnsidy,2714,viterbi,1930
unused,2714,unused,2483
terrasphere,2711,terrasphere,1548
klimmek55,2709,klimmek55,2182
gina,2708,gina0605,2324
jjwdi0,2707,applist,2383
oree2113,2707,SoulTch,2108
teferi00,2707,Teferi,1951
ansemddl97,2705,SUDAL,2181
max804,2704,Cube219,2027
ahgus89,2703,Number_Theory,2282
ncy09,2703,_Eclipse_,2390
ntopia,2703,ntopia,1989
ansol4328,2702,Kuku,1922
yj10516,2702,tu-na,2055
gs22123,2701,Equinox_,1669
rdd6584,2700,rdd6584,2339
benedict0724,2699,cherry_hwan,2461
hidercpp,2699,Caffeinus,2252
kajebiii,2699,kajebiii,2332
namnamseo,2699,Namnamseo,2513
ggoh,2694,ggoh,2117
djs100201,2692,djs100201,2209
gggkik,2692,gggkik,2003
retro3014,2692,retro3014,2655
hamuim,2688,hamuim,2231
semteo,2688,semteo,2166
aaron0526,2681,aaronkim00,2204
lobo_prix,2681,wolfrevo,1926
deuslovelt,2679,deuslovelt,2022
hulahula3247,2679,hulahula32471,1989
Diuven,2677,Diuven,2214
bnb2011,2674,IBory,2192
p_ce1052,2668,seecret,2221
khsoo01,2666,khsoo01,2588
ystaeyoon113,2662,Serendipity__,2031
invrtd_h,2661,invrtd.h,1724
thomas_li,2659,thomas_li,2106
eunlin,2658,eunlin,2287
sjhi00,2657,sjhi00,1845
ldhun041203,2654,w3q,1539
pasa3232,2654,pasa3232,2116
luciaholic,2652,CAELO,1934
gs15120,2649,gs15120,2268
junseo,2649,junseo,2167
leecs0503,2648,killerCS,2282
overnap,2647,overnap,2108
clifter0122,2644,laundaryman,2151
rhs0266,2644,dkflfkdeh,2201
junie,2642,junie,1925
hibye1217,2640,hibye1217,2412
tlsdydaud1,2640,tlsdydaud1,2242
vector,2639,gs20028,2157
hjroh0315,2638,chromate00,1815
playsworld16,2638,JYJin,2301
kazel,2637,kazel,1960
thak00,2635,__Morgan,1927
dtc03012,2633,dtc03012,2120
lighton,2633,lighton,2104
shjgkwo,2633,shjgkwo,2008
slah007,2632,slah007,2197
jwpassion1,2631,TCL,1725
bomul1128,2628,bomul1128,1685
eric00513,2628,zamong_juice,1832
WeissBlume,2627,WeissBlume,1972
menborong,2626,menborong,2270
bluefire,2625,ffresh,2148
jh01533,2622,jh01533,1982
sean9892,2617,sean9892,1730
sjoonmin07,2617,sjoonmin07,1863
kiwiyou,2616,kiwiyou,1631
runnie0427,2616,Eunha,2022
andrewmjk1,2613,rulerofcakes,1676
jbs30_jsh,2613,Baeco,0
jaydoubluel,2611,OnionPringles,2847
red1108,2611,red1108,2177
zych1751,2611,VA11-HALL-A,2051
dlrkddnr2718,2610,chainsawman,0
sujin,2609,sujin,2105
shjohw12,2608,shj0hwl2,2154
djm03178,2607,djm03178,2037
kjp4155,2607,kjp4155,2175
aurora2001,2606,Sana,2800
ruz,2605,ruz,1786
golazcc83,2602,ATOPY,2104
jinboy73,2602,jinboy73,1555
jenny00513,2601,15631164,1908
smilu2245,2599,smilu97,1666
yongwhan,2598,yongwoods,2129
ftkbrian,2597,gs20098,2245
gumgood,2594,gumgood,2107
jiangly,2593,jiangly,3678
kkt89,2589,KKT_89,2156
mym0404,2587,mj_studio,1957
dadada2413,2586,danny0122,2181
portableangel,2586,tataky,2300
woolim,2586,woolim,2198
mathking1021,2585,mathking1021,2162
tommy1024,2583,frgnhite,1783
fefe,2582,minfe,2106
hyjk826,2582,hyjk826,1627
scw1130,2580,scw1130,1857
man_of_learning,2579,man_of_learning,2191
riroan,2579,riroan,1932
jk410,2578,DELTARUNE,2116
IHHI,2577,IHHI,2444
coconut99,2575,hawaiianpizza,2107
index,2573,indexLP,1406
jame0313,2569,jame0313,1912
jihoon,2565,moraeduji,2424
christ,2564,ChrisT,2449
nadoo1313,2560,nadoo1313,1710
biximo,2559,biximo,2062
cologne,2556,cologne1723,2530
plast,2555,plast,2079
baactree,2553,BAACTREE,2142
chogahui05,2553,ssu_2011,1735
jyheo98,2553,Wonsei,2184
gratus907,2552,gratus907,2117
raararaara,2551,raararaara,1655
bungmint,2547,Bungmint,2231
dj035,2544,PUPA,1482
jeroenodb,2543,jeroenodb,2952
pps789,2541,pps789,2197
tae826,2540,zoxl,2214
choyi0521,2538,epicure,2081
sehujeong,2538,shjeong,1770
abra_stone,2536,Abra_Stone,1721
tmdgud0617,2535,Seungni,1928
ploffer11,2534,Coano2000,1912
leedongbin,2533,dongbin1999,1969
sk091204091204,2533,sk091204,1921
YunGoon,2533,YunGoon,2112
jaewoo2009,2532,byunjaewoo,1984
amsminn,2531,amsminn,1546
exqt,2531,exqt,2122
kidw0124,2531,kidw0124,2106
annaria,2527,Esselem,2132
dhyang24,2524,dhyang24,1983
momo6465,2520,momo6465,1062
ekwoo,2518,ekwoo,1670
juney,2518,Juney,2207
orihehe,2517,oridya,1908
daniel604,2513,daniel604,1649
rubix,2513,rubix03,1967
smjun04,2513,zero7103,1492
gubshig,2511,Vlichan,1659
jhuni,2511,Jhuni,2293
nk1008,2511,NK_,2232
whqkrkt04,2509,wheoeld04,2132
BaaaaaaaaaaarkingDog,2508,BaaaaaaaaaaaaaaarkingDog,2410
dong_gas,2508,dong_gas,1846
shpark061104,2508,shpark061104,1658
taekop,2508,taekop,1964
changhw,2507,now_cow,1765
dlwocks31,2507,dlwocks31,1944
kthng,2507,kthng,1408
cscandkswon,2505,cscandkswon,1973
king7282,2505,juyj7282,2145
saywoo,2505,saywoo,1633
halin,2504,halins,1696
karvens,2504,jbkarvens,1436
retrogemhk,2502,retrogem,0
jaesang00,2501,MiniAhiru,448
peijar,2496,nweeks,2514
donghwa722,2495,alllife,2050
gs25,2494,ZmkzOWYyOHcwdWo4cj,1913
pjshwa,2492,pjshwa,2114
lulunlnl,2491,lulunlnl,1468
octane,2491,OctaneC8H18,1772
shinywon7,2491,shinywon7,575
eggx50000,2489,eggx50000,1700
yongjun18,2489,yongjun18,2062
greatmelonbread,2486,YuDabin,1629
eoaud0108,2480,jwkim0108,1995
snowflake,2480,haibara_,1779
rhrnald,2479,rhrnald,2485
minsung05,2478,astilate,1783
4fecta,2477,4fecta,2421
inwooleeme,2477,InWooLeeme,383
ychangseok,2477,ychangseok,1515
jimini23,2474,jimini23kjm,2297
kdr06006,2473,kdr06006,1469
pyb1031,2471,dyppp,2361
qjatn0120baek,2470,qjatn0120,2233
sys7961,2468,nein,2124
easrui,2467,L0TUS,2390
heiler,2467,threepebbles,1725
sciencepark,2467,ComPhyPark,2316
njchung99,2464,njchung99,1991
chunghan,2463,circle-oo,994
haruki291sa,2463,haruki291sa,1523
chmpro,2462,chmpro,2115
dollypolly,2462,IvoryHamzzi,1981
physics0523,2462,physics0523,2575
tncks0121,2462,tncks0121,2626
applemade,2461,gs18076,427
dreami63,2461,dreami63,2218
asz2325,2460,_Log_,1613
myyh1234,2460,chan_uuu,1901
powergee,2460,powergee101,1905
yeohj0710,2460,yeohj0710,1917
kwanghyunon,2458,KwanghyunOn,2125
naeby,2455,naeby,2098
psb0623,2455,psb0623,2177
dk10211,2454,wlsgud514,1774
devluyten,2452,SafeSpot,1634
qja0950,2452,KJBS2,2315
seojin0305,2452,seojin0305,1719
ban4861,2451,KasuAri,1851
pizzaroot,2451,pizzaroot,1961
Nada,2449,kaseo,1993
unwnsgk1282,2449,junha1282,1780
juwonhyme,2447,juwonhyme,1661
jhhope1,2446,jhhope1,2152
kesakiyo,2446,kesakiyo,1944
sonho00,2445,soodo,2000
hojoon0205,2443,hojoon0205,1970
wlsth1004100,2443,shyPlants,1351
ainch96,2442,Maru,1857
pjh6792,2441,Rebro,2135
sunho0371,2441,sunho0371,1988
woaldudrl,2441,woaldudrl,515
kaorin,2439,Fukashigi_no_Carte,1944
kimyh9797,2438,kim_young_hyun,1674
wjdgud0621,2436,dacoon,1452
hanabisuri,2434,Hanabisuri,0
blin00,2433,blin00,2250
toysmars,2432,toysmars,1667
gs22059,2431,annyeong1,1883
adh0463,2428,coloredrabbit,1639
edward3378,2428,kookeudas,1979
parkky,2426,parkky,2220
randomlb,2425,RandomLB,2160
swoon,2425,swoon,1974
king114,2424,king114,1621
admathnoob,2423,EnAnimant,2272
afpine,2423,AFpine,1436
akim9905,2423,_myunbin,1609
chlwnsgud7,2423,EN_SA,1801
prarie,2423,prarie,1984
pseong,2422,pseong,1781
stabilizer_h,2422,stabilizer_h,2165
noye,2420,codingnoye,1413
sos89756,2419,sos89756,1946
cdh981009,2418,cdh981009,2120
yooshnn,2416,porpoise,1770
kevinlys00,2413,kevinlys00,464
subinium,2413,subinium,1916
skeep194,2412,skeep194,1904
yeahwhat11,2412,yeahWhat,1102
cshcho99,2411,morgorithm,1415
goooora,2411,newbieski,1579
tyoungs,2410,tyoungs,2100
hyperbolic,2404,Hyperbolic,2403
iknoom1107,2404,Ik_noom,1969
cake_monotone,2402,cake.monotone,1941
Nyan101,2401,nyan101,2134
zlzmsrhak,2398,zlzmsrhak,2172
jeong,2397,jeong,2134
khj20006,2397,uppercut,1632
Acka,2396,Acka1357,2170
js9028,2396,nicerice,1681
pretty_pi,2396,e3e,1982
sslktong,2395,gyuni,2104
junwoojune,2394,junwoojune3.14,2021
pch6828,2394,pch6828,0
dahoon46,2392,dahoon46,2137
hsh8086,2391,Sort,1938
97mjh1012,2389,97mjh1012,0
frozenca,2388,frozenca,1633
tjd229,2388,tjd229py,2002
hongjg3229,2386,marlin_gazami,1932
pjh1016,2386,Damo1924,1695
ryute,2386,ryute,2009
delena0702,2385,delena0702,2112
sprout_429,2384,jijoo0003,1926
sunho,2384,mathneko,1911
bmw777,2383,GodTe,2218
dosawas,2383,IwasDosa,1605
k1178k,2383,mingi1178,440
sky,2382,proxima4311,1480
jinseo,2381,jinseo,1578
naneun,2381,yhsep7,1539
sm970124,2380,sm970124,1180
jhnan917,2379,jhnan917,2533
yukariko,2379,yukariko,1955
surface_03,2378,surface03,1936
nflight11,2377,nflight11,1517
gs20036,2376,gs20036,1881
3587jjh,2375,Elysia,1986
leaps,2375,leaps,1643
kep1er07,2374,namolbbaemi,2144
lovinix,2372,Lo_vinix,1914
st42597,2372,WillKiss,1428
kkkkkkkkfkfk,2371,kkkkkkkkfkfk,0
joseph0528,2370,papergundam,1157
chas0612,2369,chas0612,1974
jjaewon9,2369,jjaewon,1721
xhdtlsid2,2369,xhdtlsid2,1902
sgc109,2367,sgc109,1925
cnhs2205,2366,comfile,1830
firstin0907,2366,firstin0907,2103
ymjoo12,2365,durumari,1618
yunny_world,2365,yunny,1648
mksmk606,2363,mksmk606,1485
wookje,2363,wo_okje,1771
windflower,2361,TOPCYBERFLOWER,2166
flyjb,2359,J.Baemi,1678
9507ym,2356,9507ym,1455
masooka,2356,masooka,1449
petamingks,2356,petamingks,2140
hwpark12,2355,hwpark12,1389
dongggle,2354,dongggle,1716
effect2110,2352,eff3ct_,1418
drwolf1999,2350,plabiano99,1464
hbg1345,2350,hbg1345,1583
lastknight00,2350,lastknight00,1268
physics07,2348,physics07,1830
tpdnjs94,2348,Mochalatte,2165
bakpark,2347,bakpark,1940
chansol,2347,nlog,1959
nuclear852,2347,GodGiYeon,1573
yonsweng,2347,yonsweng,1653
jungin0507,2346,jungin0507,1592
dbtjd1928,2345,dbtjd1928,1314
dicohy27,2344,PopoLemon,1633
ganghe74,2344,asdfz1234,1960
0917jong,2343,killerwhale_,1474
jisung6723,2342,jisung6723,1616
jrguyyoo,2342,jrguyyoo,1684
atomzeno,2341,atomzeno,1742
finimage,2341,finimage,1442
pcmaster0228,2341,cutehammond772,0
wlssud0701,2341,DivisionOfficer,1446
curnurx,2339,soy4742,1674
meque98,2339,queme,2018
readiz,2339,Maximux,1611
dankimh,2338,dankimh,1439
iktk,2337,iktk,1633
tksvlf123,2337,S4NGP1L,1766
wnguscjf01,2337,ChurriesJubilee,1670
hun3555,2336,revdoor,1628
thahn106,2336,thahn106,1973
chan120714,2335,chan120714,1468
mathdong01,2335,mathdong01,1663
davinci2003,2334,CookieBean,499
hansc0320,2334,hansc0320,1615
herdson,2334,nicotina04,1493
99asdfg,2333,cdjs1432,1951
aru0504,2333,donghoony,1435
flakepowders,2333,flakepowders,1854
johnny8337,2332,gshsmuyaho,1615
gazebo1,2331,ChanyH,1312
newdeal,2331,newdeal,1429
psj_0708,2331,psj_0708,1640
sendol,2331,sendol,1647
ks9509,2329,ks9509,1925
dinojaemin,2328,gongryongwang,1483
yehyun,2328,_goto,1814
ktwin01,2327,JaeyunK,1610
rustiebeats,2327,75yabuki,1567
tjqtjq0516,2327,tjqtjq0516,378
joey3020,2325,joey0320,1751
yjyj1027,2325,wease1,2146
quickn,2323,Stygian_Nymph,1901
thrudgelmir,2323,thrudgelmir,1486
ggj06281,2321,c0510gy,1925
oculis,2320,oculis,1530
aeternussm,2319,hhsm,419
dyim0403,2317,dyim0403,1573
mulmuri,2316,mulmuri,1683
yanghj1490,2316,Yanghj1490,544
39dll,2315,39dll,1660
youngjun7,2315,yjun.,1643
singun11,2314,shinkeonkim,1601
